PART-NO.,CLASS,DESC,O.H.,BIN,MNS,COST,CUR.VAL
20671751,10708,F-CLIP,2,1138,18,1.07,2.14
26018738,2187,(S)KEY,18,KEY,18,5,90
10308667,12190,F-PANEL,1,W115,18,84.52,84.52
25991854,17507,MOLDING,3,W121,18,64.05,192.15
89025791,7831,FASCIA,1,W307,18,263.91,263.91
25842417,8153,LINER,1,W309,18,40.68,40.68
88909757,8965,F-FUSE KIT,37,245,9,1.37,50.69
94535595,8991,(S)BULB,7,245,9,0.86,6.02
12338094,8909,F-BOLT,4,1108,8,2.38,9.52
12338142,8909,F-BOLT/SCRE,2,1108,8,2.18,4.36
9594462,5858,CAP,1,768,7,50.81,50.81
15134819,16650,HOLDER,1,873,7,67.84,67.84
12583827,3670,(S)REMANUFACTURED MODULE,1,36,6,330.25,330.25
11610158,0623,(S)BOLT,1,1008,6,2.95,2.95
15762170,16720,RETAINER,5,1173,6,2.94,14.7
12612427,0297,(S)VALVE,3,3,5,18.41,55.23
9594433,5813,CAP,10,56,5,3.78,37.8
22947665,6168,(S)ARM,6,772,5,51.72,310.32
15072624,17505,BRACE,1,879,5,31.66,31.66
19192665,10146,(S)BLADE,1,,4,3.15,3.15
22862011,12243,(S)SWITCH,1,,4,9.44,9.44
14012699,5542,F-(S)WASHER,1,56,4,6.78,6.78
10203412,9011,RETAINER,1,71,4,8.67,8.67
12378401,8800,DISCONTINUED 05/2012,1,88,4,4.56,4.56
15096144,3613,STUD,2,1043,4,6.29,12.58
12377914,14640,ADHESIVE,1,88,3,27.6,27.6
19153560,6508,(S)REMANUFACTURED GEAR KIT,1,775,3,420,420
3535261,10147,(S)NUT,2,1128,3,1.16,2.32
15239274,3890,(S)FILTER,6,41,2,18.68,112.08
22729814,10527,(S)LEVER,2,80,2,8.04,16.08
88861431,8800,CLEANER,4,88,2,4.92,19.68
15066553,6671,(S)PIPE,2,779,2,32.13,64.26
8667035,4123,(S)RING,6,1055,2,2.04,12.24
11516327,8900,(S)BOLT,11,1106,2,1.86,20.46
1240382,4338,F-(S)SEAL,7,51,1,2.05,14.35
96620070,9225,(S)HOSE,1,815,1,33.98,33.98
11515755,8900,(S)BOLT,17,1105,1,3.14,53.38
96434192,9222,(S)SEAL,3,1124,1,0.65,1.95
1358899,4318,(S)SEAL,4,50,,1.65,6.6
15837427,7243,W-(S)INSULATOR,2,62,,12.13,24.26
19130069,8846,(S)HOSE,1,68,,25.52,25.52
11516109,8900,(S)BOLT,8,69,,0.95,7.6
19245463,11625,COVER,3,81,,2.96,8.88
