PART-NO.,CLASS,DESC,O.H.,BIN,MNS,COST,CUR.VAL
90482454,2698,(S)SWITCH,1,1032,10,21.39,21.39
90537679,3601,(S)MANIFOLD,1,743,9,166.2,166.2
90570544,3611,GASKET,1,35,9,4.79,4.79
92218490,2679,F-LAMP,1,26,10,102.22,102.22
92225676,3685,F-(S)CONVERTER,1,747,29,393.5,393.5
92228228,1266,GRILLE,1,W120,9,37.44,37.44
92236548,7831,FASCIA,1,W307,9,242.4,242.4
92242307,8160,RAIL,1,807,10,89.4,89.4
92243318,7831,REINFORCEMENT,1,64,9,10.17,10.17
92243928,7240,W-(S)LINK,1,780,10,15.42,15.42
92245273,8304,MOLDING,1,W105,10,158.28,158.28
92247638,3685,(S)CONVERTER,1,W124,12,310,310
93168628,9170,W-(S)COMPRESSOR,1,814,10,310.97,310.97
93443101,2485,(S)SWITCH,1,22,9,75.27,75.27
94515068,3613,NUT,7,1045,9,1.1,7.7
94860087,2187,(S)KEY,1,KEY,10,2,2
95122565,12182,F-EMBLEM,1,82,9,26.25,26.25
95215113,8304,COVER,1,67,10,10.1,10.1
95215115,8304,COVER,1,67,10,11.31,11.31
95216004,8160,(S)RETAINER,1,1095,9,2.39,2.39
95226510,10156,(S)NOZZLE,1,1129,11,3.66,3.66
95292260,3028,(S)CAP,1,30,14,10.57,10.57
95321658,10701,(S)WEATHERSTRIP,1,828,11,50.73,50.73
95323228,8153,F-SHIELD,1,805,9,13.53,13.53
95469599,8080,LATCH,1,66,10,33.88,33.88
95900042,2725,HEADLAMP,1,722,10,119.11,119.11
95946961,8858,(S)VALVE,1,69,10,74.55,74.55
96181581,3704,GASKET,1,40,9,2.98,2.98
96409548,10527,(S)HANDLE,1,80,9,29.4,29.4
96468266,10529,(S)HANDLE,1,80,10,33.61,33.61
96476195,3685,(S)MANIFOLD,1,747,11,829.29,829.29
96583188,10797,HANDLE,1,81,20,7.15,7.15
96804100,7831,BRACKET,1,790,10,11.29,11.29
96858745,724,(S)BELT,1,6,12,61.77,61.77
96899201,2726,BRACKET,1,27,10,17.67,17.67
96930074,1069,W-(S)PUMP,1,202,11,62.18,62.18
96951465,3682,(S)SENSOR,1,40,10,117.76,117.76
97216063,3163,(S)HOSE,1,1038,10,10.81,10.81
97216067,3163,(S)HOSE,1,1038,10,14.18,14.18
97251963,3270,(S)GASKET,3,33,10,2.98,8.94
97312341,423,(S)GASKET,2,252,12,30.53,61.06
97326305,2270,(S)GLOW PLUG,2,18,9,18.79,37.58
